목적,읍면동,설치장소,위도,경도,설치연도,설치대수
방범,가호동,가좌동 479-2,35.154626,128.108577,2023,4
방범,가호동,가좌동 562-11,35.149961,128.103438,2021,4
방범,가호동,가좌동 564,35.149016,128.102903,2022,3
학교내,가호동,가좌동 564,35.149732,128.103786,2015,13
방범,가호동,가좌동 579-26,35.161296,128.111995,2022,4
방범,가호동,가좌동 637-14,35.159423,128.108311,2022,3
교통정보수집,가호동,가좌동 638-2,35.158961,128.107726,2023,2
방범,가호동,가좌동 662-1,35.163848,128.111639,2022,2
방범,가호동,가좌동 669,35.15974,128.109232,2022,3
방범,가호동,가좌동 691,35.160168,128.10914,2022,3
방범,가호동,가좌동 772-7,35.164403,128.104809,2022,2
방범,가호동,가좌동 843-3,35.157613,128.101937,2017,2
방범,가호동,가좌동 961-31,35.163629,128.11031,2018,2
방범,가호동,가좌동 산 86-1,35.166211,128.105421,2018,2
방범,가호동,가좌동 산 88-7,35.16647,128.104657,2018,8
방범,가호동,가호동 1011-4,35.145205,128.101638,2019,3
교통정보수집,가호동,가호동 1011-4,35.145339,128.101415,2021,4
방범,가호동,가호동 1267-2,35.160557,128.095994,2019,2
방범,가호동,가호동 1398,35.158981,128.108231,2022,5
방범,가호동,가호동 1404,35.165411,128.111072,2018,1
방범,가호동,가호동 1429-1,35.1636,128.1046,2019,2
방범,가호동,가호동 1431-5,35.160619,128.106871,2018,3
방범,가호동,가호동 1432-1,35.160463,128.106814,2015,3
방범,가호동,가호동 1438-8,35.158603,128.106181,2019,2
방범,가호동,가호동 1441-14,35.157823,128.106583,2018,4
방범,가호동,가호동 1441-14,35.152408,128.104756,2015,1
방범,가호동,가호동 1442-21,35.157108,128.105728,2019,2
방범,가호동,가호동 1444-1,35.156488,128.104706,2019,3
방범,가호동,가호동 1446-13,35.156882,128.106315,2023,2
방범,가호동,가호동 1705-2,35.151518,128.124287,2018,3
방범,가호동,가호동 1890,35.14508,128.103883,2015,2
방범,가호동,가호동 1932-8,35.165411,128.111072,2019,1
방범,가호동,가호동 1933,35.165332,128.111012,2019,6
방범,가호동,가호동 1940,35.165904,128.109541,2022,3
교통정보수집,가호동,가호동 1949,35.155569,128.116522,2022,3
주정차단속,가호동,가호동 1958,35.154362,128.115679,2022,6
교통정보수집,가호동,가호동 1959,35.152479,128.116304,2022,1
교통정보수집,가호동,가호동 1959,35.151606,128.113898,2021,3
교통정보수집,가호동,가호동 1959-1,35.154917,128.117892,2018,4
주정차단속,가호동,가호동 1960,35.153244,128.117111,2022,4
주정차단속,가호동,가호동 1962,35.154714,128.113706,2022,4
방범,가호동,가호동 1965,35.15286,128.11574,2022,1
교통정보수집,가호동,가호동 1978-1,35.152207,128.111314,2019,4
교통정보수집,가호동,가호동 1983-1,35.152778,128.109826,2023,3
방범,가호동,가호동 1987,35.147925,128.108104,2019,2
학교내,가호동,가호동 1988,35.1513,128.11105,2019,13
교통정보수집,가호동,가호동 2011-1,35.15004,128.10359,2015,1
방범,가호동,가호동 2018-4,35.151965,128.110715,2022,2
주정차단속,가호동,가호동 2039,35.151305,128.1141,2022,3
방범,가호동,가호동 2046-1,35.149823,128.113032,2016,4
주정차단속,가호동,가호동 2064-1,35.152249,128.116009,2022,3
주정차단속,가호동,가호동 2073,35.15308,128.119161,2022,2
교통정보수집,가호동,가호동 2091-3,35.153699,128.12113,2017,3
교통정보수집,가호동,가호동 2107,35.154204,128.119137,2019,4
주정차단속,가호동,가호동 2113,35.154768,128.118719,2022,2
교통정보수집,가호동,가호동 301-4,35.164021,128.126115,2023,2
방범,가호동,가호동 365-5,35.163408,128.116967,2016,1
방범,가호동,가호동 446-1,35.158393,128.108729,2019,2
방범,가호동,가호동 449-1,35.157386,128.107856,2018,3
방범,가호동,가호동 453-6,35.156577,128.108331,2018,2
방범,가호동,가호동 455-10,35.155973,128.10883,2015,3
방범,가호동,가호동 464,35.15731,128.108861,2019,2
방범,가호동,가호동 479-24,35.155182,128.109221,2020,3
